,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
294568,45.58765620180364,311.8753912474713,0.9649940855587213,99.88751413329021,647.0813611182496
121108,47.650129132896815,277.61744068335287,0.9928930660249033,106.75182837587457,841.0102021061448
288814,46.02821069375761,293.7755811492899,0.9799706745641719,126.66888185086879,748.114915328753
260976,46.340840850382364,290.53689814679,0.9983162176963549,74.05747960604106,766.2762115181589
140593,46.11494795093371,302.99339754181506,0.9830366269073871,120.42719764873765,692.3884231503303
95022,46.368124528616306,297.31759582800765,0.9974736791625767,152.51634759779404,724.21160275011
144810,46.949439300380334,302.59039285686333,0.9751647522867328,95.30730222569946,688.6652211287812
236809,49.46409985670109,312.4907573874994,0.9983558041175774,74.80067450041544,614.4973075719508
245368,45.18241435476566,310.1132350178261,0.9822632325324082,86.06725157995335,659.6256588881832
148259,46.10860578337001,297.65780139690594,0.9876623762479168,161.6061428453383,723.984741180078
146830,45.421139776401084,304.88914000141347,0.9719690895194535,70.39490000888375,686.6309337326857
329228,49.625264418192124,308.63945546817376,0.9663730271299906,101.64051140020224,634.808794499833
304443,48.39482470991908,300.5845091245204,1.0,125.16566210999756,690.4818114114184
165894,41.32517679808985,208.2642189827584,0.9025442130424715,104.22642772773777,1294.0189086892153
57319,33.47345619670836,193.55087840168733,0.9089502825483979,249.5558787010986,1363.4958721976473
261258,31.435826263605517,184.90970831144247,0.9637830989130677,165.70402935023458,1387.9466748976722
742,33.609567310225984,216.07716876815323,0.9164809668715697,111.08627741101456,1264.8014458014295
72408,36.10061699664663,198.2949285978468,0.8909423545126541,291.31540073431614,1347.6019307722463
214679,30.06511327339595,221.2600078523813,0.9588438418371231,197.870101863292,1241.160247177648
129497,40.86722406362914,185.1870272239276,0.8956379206130303,212.9762909628824,1395.6104474228512
51926,35.20622315885052,200.59195582871266,0.9371161310939679,597.2711177590558,1337.6024166203363
34011,36.23013639083972,196.86379204532443,0.9446492970975782,185.74043290162209,1353.5620506284445
334704,36.21219826639014,203.3634418603835,0.9021378204191128,178.62342433336144,1325.2213595173105
146602,40.4916814330112,213.46416500515932,0.9083336329042918,145.97967044256686,1269.6249848653695
74131,39.18357719150771,187.624723394383,0.9152665719836139,57.92953035802545,1388.0472879848032
360889,44.945223142921066,189.90653292043515,0.9120151936388801,323.5922642091888,1374.313143532564
15895,32.95137688930362,188.53935492945922,0.9253032155769021,117.82932757276305,1379.5383214561773
158599,35.55028098675422,223.14117831382526,0.9624116520631936,174.5538068766344,1227.006551940516
216984,33.37784506579372,184.15774501500874,0.9313039092110748,157.7555383890214,1394.41806397603
158581,35.17109071498221,193.39825644202048,0.9046164641576387,118.26954362520567,1366.1574804515867
336884,33.93649973207687,185.87461750477803,0.9515200041787952,145.2027650229005,1389.7086219655564
220349,43.083207991448475,186.42498179356687,0.9559819583011744,101.63472467207757,1389.8483844658504
259041,34.14733215664613,196.004200043961,0.9250231461153251,110.19224407081091,1355.503535310787
322917,38.813510004069954,184.55571439476597,0.9479342608533925,150.7882219981052,1398.1175060801654
197758,32.18951427380548,198.7749129203577,0.9470273399434722,208.1130934858689,1342.4896831126473
286103,34.90028098857802,186.11310472929938,0.8969899888647603,135.90561410519274,1390.3184471664836
197860,37.76684397353755,207.2535074868038,0.9001692606485803,117.32934772858982,1305.1725229332042
114295,31.201064607694196,221.11271255124853,0.953026470293043,256.16723923223884,1241.3779296551286
126467,33.939071210962425,208.9247699651228,0.8926560044344655,206.32436905752232,1299.6613871117338
127327,35.34686157172018,222.2411169763751,0.9135004841964977,123.64636749356308,1231.8196656765806
208318,37.977168638466466,195.71300117345766,0.9178493962909128,220.0179263495386,1358.39158909001
319173,39.042295822178325,214.83359950303193,0.9609475987505042,150.40803499108628,1264.987500793703
219289,31.851399207388578,181.07494271417383,0.9544988091458088,328.1043351877872,1400.2606288385027
260091,32.7654449592615,199.0403112910785,0.9441720306824445,106.40103526409086,1342.2177483618584
335758,26.605093403037316,343.5327757906599,0.9879138138680222,189.3326710530563,787.926795307383
230203,21.403945880837355,342.637440127603,0.9815623631980619,157.9117335126705,860.4491798579098
273887,28.725382722019823,334.401670364073,0.973587370580902,127.92035217585189,760.9249583397806
